anrede;name;vorname;plz;ort;strasse;hausnummer;telefon1;telefon2;email;geboren;geschlecht;leistung_uuid;vertrag_kontierung;vertrag_laufzeit_von;vertrag_laufzeit_bis;preis_uuid;bemerkung_uuid;uuid
<NULL>;Schlömer;Horst;23897;Wursthausen;Unterweg;1;09819289188297;016099997653562;horst.schloemer@t-mobile.de;189298800;maennlich;37fabfb5-3002-471a-aef7-cf20b92c344e;1776808800;1777586400;1809036000;e7b82d0b-51db-4103-a03b-f33cdcbe4548;ffab6527-6e32-4ab5-baee-bf76c9b73895;
<NULL>;Schickeldickel;Horst;415263;Wurstständer;Tulpenweg;1223;228832;89989887656;seine.email.adresse@t-online.de;95554800;<NULL>;052dace1-1c08-4b43-9499-7c320af4a032;601513200;601513200;2686950000;1397bd1d-d397-4f7a-9216-6f4106651d42;<NULL>;
Herr;Pau;Peter;12123;PaoloCote;Zuckerhut;23a;12338;83884;peter@zuckerhut.de;536454000;maennlich;4391aa6d-bb96-452c-844b-dd2a29bf03b3;<NULL>;<NULL>;<NULL>;cf87bf47-7ca7-4894-8b2a-de6658fb4905;<NULL>;c003f7c5-df26-419f-a0d8-f9c547ab3960
Frau;Deter;Ina;123423;PaoloContelano;Zckerberg;12;123123;7623182;una.deter@t-online.de;-1164934800;weiblich;37fabfb5-3002-471a-aef7-cf20b92c344e;1777240800;1776636000;1808863200;cfff318e-322d-4da1-9111-ad8376ff44a3;<NULL>;a7dffa74-2b91-4fd8-bb5c-8f73cde47b6d
Herr;Richter;Angelika;58814;Leipzig;Bahnhofstr.;110;0401220329;07717766408;angelika.richter838@email.de;447030000;maennlich;70406418-3a1f-4deb-9935-6a9d942d1130;1736204400;1790632800;1802991600;daa9f974-f1ec-4f89-bb54-d4bce2f2150c;<NULL>;3c670610-600b-4c84-b061-0c9fb23838f7
Frau;Lange;Thomas;89577;Frankfurt;Wiesenweg;79;02359760669;;thomas.lange167@email.de;-315277200;<NULL>;a67cbfa9-b4ee-414f-8176-f581d5c12728;1767567600;1751666400;1789164000;24d83901-3095-480d-83ce-72d934e3b4b2;<NULL>;32db4c1d-bf67-42e7-ba26-6e8913f58ef4
Frau;Becker;Nicole;18415;Bochum;Bahnhofstr.;128;01014211792;;nicole.becker252@email.de;813106800;weiblich;f03929ab-6c35-4955-87ee-6e83548498ed;1780437600;1722636000;1820181600;e1f62e0f-caf1-40a1-8bbb-ddb96c39a3b9;c86bc16c-913e-4c61-ac37-e61d9d345787;70ae9daf-49b2-4fd9-a6a7-e92a34b214a0
<NULL>;Klein;Klaus;64065;Bochum;Schulweg;40;03491199184;07774839581;klaus.klein143@email.de;738108000;weiblich;ddd59095-8dbe-4402-9d3b-730d65ad8481;1743202800;1736550000;1816984800;debdbce1-f984-471c-b9da-3a4c8c1320b9;<NULL>;6085b763-e19f-45ba-985a-ae5bb71c3294
Frau;Braun;Ralf;22399;Nürnberg;Am Park;80;03064399956;;ralf.braun284@email.de;846889200;weiblich;cb86f424-ea0a-4de8-b013-47c8a0814ea6;1724277600;1763420400;1782338400;bd66f387-0fb5-46f6-b461-c720f5f79d78;24e60528-aeaa-468c-9625-0129ed100760;ff5730d9-22ef-4a04-9d9b-307c1be4d19b
<NULL>;Fischer;Andreas;48278;Münster;Wiesenweg;30;0579376098;07346998544;andreas.fischer534@email.de;795049200;weiblich;aaadabf6-7fcd-4fbc-b689-1e8c687de4af;1774566000;1749938400;1821823200;3f9f9dda-54ca-4552-8c50-4d8df14dd79e;<NULL>;b8346129-b95c-4b95-bbd6-ebadda16f2ff
Herr;Becker;Maria;77410;München;Mühlenweg;27;08269338676;;maria.becker963@email.de;584661600;maennlich;0d21d866-51b9-44e5-a4fb-b5ee831766be;1789682400;1743030000;1816639200;182c3dc4-a12b-44ec-98be-cce4da5324e0;<NULL>;74cce27c-408b-43eb-ad5e-422e25374efe
Frau;Meier;Stefan;76211;Düsseldorf;Bahnhofstr.;81;09893572742;;stefan.meier831@email.de;-51066000;maennlich;012ec921-5426-4b3b-9dac-29af3cf310d3;1745186400;1756418400;1806015600;11b7ed8d-cfde-43d0-9c40-ff48933baefe;<NULL>;02cadf74-0224-4eb8-935d-8aaa944887d8
Herr;Wagner;Petra;68892;Köln;Mühlenweg;70;02357123222;;petra.wagner831@email.de;1036623600;<NULL>;3d33f3d7-01e8-40bb-b328-b3c54bac1375;1758492000;1751234400;1836774000;c1d4fac8-93eb-4b40-a99e-b534c164dfa6;b45da00c-7b5e-449f-a031-a08580d0218b;562e3491-a1da-4b5c-907d-a08c28bce646
Frau;Weber;Ralf;54537;Frankfurt;Bergstr.;108;02059485980;;ralf.weber36@email.de;1022709600;weiblich;ddd59095-8dbe-4402-9d3b-730d65ad8481;1706396400;1741474800;1803942000;90d47d8a-984c-4971-8c75-0398c7f31f53;3c8b70c1-0765-47e0-b8de-7276b3213473;c867080f-7db6-4220-aef7-e0280213b213
Herr;Neumann;Stefan;55395;Köln;Bahnhofstr.;65;02918223764;02093605421;stefan.neumann78@email.de;602204400;weiblich;37fabfb5-3002-471a-aef7-cf20b92c344e;1758924000;1710284400;1802473200;9e9ce7ff-ca15-48dd-82bd-ae36b3a0d1ca;<NULL>;2f1fb8f3-457b-47bc-9f6a-035a4bf52507
Frau;Hoffmann;Susanne;65636;Wuppertal;Mühlenweg;21;06457517777;;susanne.hoffmann140@email.de;617580000;maennlich;0ff57165-fe3f-47ae-bc3b-de955906f00a;1767999600;1724364000;1858806000;1db64250-bff4-4bb9-9f54-9af735826b57;<NULL>;451f7b61-9e51-4aac-baa6-e05ff83a152c
Frau;Hartmann;Gerd;31049;Bielefeld;Wiesenweg;38;04612106082;06407838911;gerd.hartmann31@email.de;-159670800;<NULL>;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1787090400;1712181600;1804460400;fccc4f37-63ae-4f5f-aaba-d21064901f70;15c868cf-1558-45cc-bb25-5064f3e42845;a39477f7-4c96-4f50-9344-d60c975fdef5
<NULL>;Braun;Maria;82932;Nürnberg;Bergstr.;33;0103705853;05148874798;maria.braun786@email.de;-268621200;maennlich;e2f1c83f-56f7-4cb4-aac7-0d675c1c34ae;1739574000;1767222000;1829775600;cff7bffb-3218-4a3d-9fd5-240b99fb345a;<NULL>;895b7998-0de4-406f-8445-f66e4409e608
<NULL>;Koch;Andreas;93560;Duisburg;Kirchenweg;145;03782235704;0351459896;andreas.koch875@email.de;289090800;weiblich;813e995d-b634-4e88-acec-7d0ac979157e;1737154800;1797894000;1776204000;e1beed07-7176-4134-aaaa-e77a52c8d0b6;479db996-1195-45c2-a2e6-211551611e66;98a5e0f9-0f86-41dd-a987-1306b399f155
Frau;Fischer;Diana;99049;Bochum;Bergstr.;149;05012798566;0636902101;diana.fischer497@email.de;-247626000;weiblich;46d6f948-528a-4502-81ae-37da05284253;1724450400;1738018800;1770418800;ed5d1b6b-e046-4c44-86d3-8cef7e792df6;<NULL>;5bd96e89-63af-40b0-8ae7-e10fd1a1ff92
Frau;Schäfer;Christian;96919;Berlin;Bergstr.;130;04472922805;02071282044;christian.schäfer817@email.de;65142000;weiblich;83a09039-a6d0-4bf0-94c3-ff782b24b4cb;1795906800;1748556000;1768086000;c26c4b61-17dc-4bca-97a0-260b067694a0;<NULL>;acfb8879-0815-4008-9b2b-05fa3a43b027
Frau;Schwarz;Christian;75189;Bonn;Bergstr.;114;01061625575;09232165901;christian.schwarz83@email.de;1187388000;weiblich;c11c942b-9341-4b36-922f-f60a317efe62;1775512800;1740610800;1830207600;1570449f-e4dd-4157-bca1-3ee9b739a64c;<NULL>;aaa5d6f5-f7e7-48ce-ab55-e789b76119d3
Herr;Klein;Gerd;90073;Stuttgart;Mühlenweg;79;02079527076;;gerd.klein926@email.de;689641200;weiblich;9f8ec296-6154-473d-a244-0d1286a6ce01;1771110000;1713650400;1782943200;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;<NULL>;3aca8119-82dd-4960-8752-6d3552e76465
Herr;Bauer;Thomas;48431;Nürnberg;Hauptstr.;113;02320536144;;thomas.bauer673@email.de;-171594000;maennlich;70406418-3a1f-4deb-9935-6a9d942d1130;1743976800;1773442800;1775685600;2de14d6b-202e-4d4d-bdfa-e8be22fe733d;<NULL>;9a1b74d4-860d-41d2-b571-f82b6fa06498
Herr;Schulze;Volker;88956;Düsseldorf;Bahnhofstr.;125;07648297304;05186348988;volker.schulze123@email.de;-103424400;<NULL>;83a09039-a6d0-4bf0-94c3-ff782b24b4cb;1784930400;1720562400;1835046000;13198955-f419-4825-b4b1-3a0a180e5e1f;<NULL>;2da0a290-bafb-4124-9b00-f3c215db2849
